3.2179 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
70.0327 	EXP 	grating: ori = -2.0
70.0327 	EXP 	Fixation: autoDraw = True
71.0327 	EXP 	Fixation: autoDraw = False
71.0327 	EXP 	grating: autoDraw = True
71.3327 	EXP 	grating: autoDraw = False
71.7019 	DATA 	Keypress: down
71.7197 	EXP 	New trial (rep=24, index=0): None
71.7326 	EXP 	Fixation: autoDraw = False
71.7326 	EXP 	grating: autoDraw = False
71.7326 	EXP 	grating: ori = -4.0
71.7326 	EXP 	Fixation: autoDraw = True
72.7326 	EXP 	Fixation: autoDraw = False
72.7326 	EXP 	grating: autoDraw = True
73.0326 	EXP 	grating: autoDraw = False
73.4531 	EXP 	New trial (rep=25, index=0): None
73.4552 	DATA 	Keypress: down
73.4659 	EXP 	Fixation: autoDraw = False
73.4659 	EXP 	grating: autoDraw = False
73.4659 	EXP 	grating: ori = 0.0
73.4659 	EXP 	Fixation: autoDraw = True
74.4660 	EXP 	Fixation: autoDraw = False
74.4660 	EXP 	grating: autoDraw = True
74.7659 	EXP 	grating: autoDraw = False
75.3361 	EXP 	New trial (rep=26, index=0): None
75.3385 	DATA 	Keypress: up
75.3492 	EXP 	Fixation: autoDraw = False
75.3492 	EXP 	grating: autoDraw = False
75.3492 	EXP 	grating: ori = 0.0
75.3492 	EXP 	Fixation: autoDraw = True
76.3492 	EXP 	Fixation: autoDraw = False
76.3492 	EXP 	grating: autoDraw = True
76.6491 	EXP 	grating: autoDraw = False
76.9867 	EXP 	New trial (rep=27, index=0): None
76.9886 	DATA 	Keypress: down
76.9993 	EXP 	Fixation: autoDraw = False
76.9993 	EXP 	grating: autoDraw = False
76.9993 	EXP 	grating: ori = 0.0
76.9993 	EXP 	Fixation: autoDraw = True
77.3022 	DATA 	Keypress: down
77.9991 	EXP 	Fixation: autoDraw = False
77.9991 	EXP 	grating: autoDraw = True
78.2992 	EXP 	grating: autoDraw = False
79.0191 	EXP 	New trial (rep=28, index=0): None
79.0207 	DATA 	Keypress: up
79.0323 	EXP 	Fixation: autoDraw = False
79.0323 	EXP 	grating: autoDraw = False
79.0323 	EXP 	grating: ori = 0.0
79.0323 	EXP 	Fixation: autoDraw = True
80.0324 	EXP 	Fixation: autoDraw = False
80.0324 	EXP 	grating: autoDraw = True
